Body Type,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Sex_female,Sex_male,Energy efficiency_No,Energy efficiency_Sometimes,Energy efficiency_Yes,Cooking_Oven,Cooking_Microwave,Cooking_Grill,Cooking_Airfryer,Cooking_Stove,Recycling_Metal,Recycling_Paper,Recycling_Glass,Recycling_Plastic
2,0,1,3,2,1,5287,3,5737,1,1,5,20,20,4284,False,True,False,False,True,False,False,True,True,False,True,True,False,False
3,2,0,0,0,1,8017,1,88,1,6,17,0,3,807,True,False,False,True,False,True,True,True,True,True,True,True,False,True
0,0,1,0,1,2,22090,2,558,2,4,4,50,23,1991,True,False,False,True,False,True,False,True,True,False,True,False,False,False
3,1,0,0,1,1,5714,1,752,2,3,14,37,14,1817,False,True,False,True,False,False,False,False,False,True,False,False,False,True
3,2,1,2,0,0,11087,1,71,0,2,10,15,10,1490,False,True,True,False,False,True,False,True,True,False,False,False,True,False
0,3,0,0,1,0,22004,2,1028,0,2,13,44,4,1561,True,False,False,False,True,True,True,True,True,False,True,False,True,False
3,0,3,2,1,1,16119,2,1527,1,4,23,34,10,2202,True,False,False,False,True,False,True,True,True,False,True,False,True,False
0,1,1,3,0,1,22345,2,88,2,5,24,8,15,2024,True,False,False,True,False,False,True,True,True,False,False,False,False,False
1,2,1,1,0,0,13390,2,73,1,4,1,42,22,1659,True,False,True,False,False,True,True,True,True,True,True,True,True,False
1,2,1,2,2,2,23881,3,8320,0,5,9,0,4,3911,True,False,False,True,False,True,False,True,True,True,True,True,False,False
1,1,2,3,0,1,10320,0,72,1,6,11,4,10,1204,False,True,False,False,True,False,True,True,True,True,True,False,True,False
0,0,0,3,0,2,14840,3,9,2,2,1,40,15,2431,True,False,False,False,True,False,True,False,False,True,False,True,True,True
3,1,1,0,0,1,14755,2,60,1,2,16,14,20,1640,False,True,False,True,False,False,False,False,False,False,False,False,True,True
0,0,2,1,0,1,16972,2,13,1,5,17,6,15,1648,False,True,True,False,False,True,True,True,True,True,True,True,True,False
0,3,0,2,0,0,8017,1,32,0,6,15,5,17,1002,False,True,False,True,False,False,True,True,True,False,True,False,True,False
0,2,0,3,0,0,5458,2,49,0,1,19,47,16,1771,True,False,False,False,True,True,True,True,True,True,False,False,True,True
2,3,2,0,1,0,8529,3,1351,3,1,20,24,5,2028,True,False,False,False,True,False,True,True,True,True,False,True,True,True
1,1,3,3,1,2,20469,3,1726,1,2,15,19,5,2540,True,False,True,False,False,True,False,False,False,True,True,False,True,False
0,3,1,0,1,1,20896,0,1021,1,7,14,48,10,1386,True,False,True,False,False,True,False,True,True,True,True,True,True,False
1,2,1,3,0,1,23028,1,62,0,5,22,21,11,1679,True,False,False,True,False,True,True,True,True,True,False,False,False,True
2,3,1,2,2,2,25075,3,9488,0,5,16,20,18,3141,False,True,False,False,True,False,False,False,False,False,False,False,True,False
1,1,3,2,1,0,7420,3,1037,2,4,0,11,24,2627,False,True,True,False,False,True,True,True,True,True,False,True,False,True
0,2,0,2,2,0,17825,0,9555,2,2,13,43,3,1188,False,True,False,False,True,True,True,True,True,False,True,True,True,False
0,2,2,0,2,0,10575,0,9031,3,5,1,11,5,3174,False,True,False,False,True,False,False,True,True,True,False,False,True,True
2,1,3,1,1,1,23540,2,1461,2,7,19,5,12,2327,True,False,False,True,False,True,True,True,True,True,True,False,False,False
2,0,1,2,0,0,7676,3,39,1,3,22,7,9,1822,True,False,False,False,True,True,True,False,False,True,True,True,False,True
3,0,0,1,2,1,11599,0,5033,1,6,0,43,24,2665,True,False,True,False,False,True,False,False,False,True,True,True,False,True
0,0,1,0,1,1,20981,2,1065,3,4,22,43,7,2129,False,True,False,False,True,True,True,True,True,True,True,False,False,True
1,2,0,2,1,2,8017,1,927,1,5,18,10,21,1425,False,True,False,False,True,True,False,False,False,False,False,True,True,False
2,1,3,0,2,0,21578,2,2277,2,1,0,11,20,1690,False,True,False,True,False,False,False,False,False,True,True,True,True,False
3,3,3,1,0,0,17058,1,97,1,7,13,18,0,1717,True,False,False,True,False,False,True,False,False,True,True,False,False,False
1,0,0,3,2,1,23966,2,7272,2,2,4,38,5,4060,False,True,True,False,False,False,True,True,True,False,False,True,True,False
3,1,0,0,2,1,6993,1,5260,3,3,14,18,17,3262,True,False,True,False,False,True,False,True,True,True,False,False,True,True
2,2,3,3,1,2,6226,1,1750,3,1,9,30,12,1674,True,False,False,False,True,True,True,True,True,True,False,True,True,False
3,1,1,1,2,2,20981,2,2998,0,4,0,36,3,3135,False,True,False,True,False,True,True,False,False,True,True,False,False,False
0,2,0,1,2,1,8358,1,9147,3,5,1,49,20,4465,False,True,False,False,True,False,True,True,True,True,False,False,True,True
2,2,2,0,1,0,21834,1,1947,3,3,23,33,8,1984,False,True,False,True,False,False,False,False,False,True,False,False,False,False
2,1,0,0,2,2,24478,3,4885,2,1,21,21,3,3246,True,False,False,False,True,False,True,True,True,True,True,False,False,True
3,3,1,0,0,0,5373,2,20,2,4,1,6,14,1351,True,False,True,False,False,True,True,True,True,True,True,True,True,True
3,1,0,3,0,2,13475,0,23,3,1,24,33,2,1929,False,True,True,False,False,False,False,False,False,True,False,False,True,False
3,3,2,0,0,2,20554,2,34,2,5,24,15,10,2719,False,True,False,False,True,True,True,True,True,False,False,False,False,False
3,1,2,3,0,0,15011,2,59,2,1,11,41,19,2336,True,False,False,False,True,True,False,False,False,True,False,True,False,False
1,1,0,2,1,2,16119,0,682,0,6,0,35,3,1270,True,False,False,True,False,False,True,True,True,True,False,False,True,False
3,1,0,1,0,2,18252,0,10,2,6,20,12,24,1803,True,False,False,False,True,False,True,False,False,True,False,False,True,False
1,0,1,0,0,1,22516,3,10,1,1,7,22,17,1816,True,False,False,True,False,True,True,True,True,False,False,True,True,False
1,3,2,3,2,1,18166,0,7964,0,1,16,43,9,4638,False,True,True,False,False,True,False,False,False,True,False,True,False,True
0,3,2,3,2,2,23966,1,3606,0,3,16,8,22,1909,True,False,False,True,False,False,False,False,False,True,True,False,False,True
1,0,0,1,1,1,23881,2,536,2,2,2,30,1,2021,False,True,False,False,True,True,False,False,False,False,False,False,False,True
1,3,3,1,1,0,10661,1,1564,2,5,4,15,23,1896,False,True,True,False,False,True,True,False,False,False,True,False,False,False
3,0,1,0,0,0,16034,2,78,0,4,11,21,3,1770,False,True,True,False,False,True,False,True,True,False,False,True,False,False
1,3,1,2,0,2,21407,0,98,0,1,12,47,3,1323,True,False,True,False,False,False,True,False,False,True,True,True,False,True
1,2,1,2,1,0,24307,3,1820,0,1,21,24,9,2269,True,False,False,False,True,False,False,True,True,False,False,False,False,True
3,0,3,2,1,0,19957,0,243,3,4,20,36,5,1918,False,True,False,False,True,True,False,True,True,True,True,False,True,True
2,0,1,1,1,1,7761,3,1586,0,7,8,43,2,2477,True,False,False,False,True,True,True,False,False,True,True,True,False,True
1,3,1,1,0,0,10064,2,11,2,3,6,10,16,1444,True,False,True,False,False,True,False,False,False,True,False,True,False,False
3,1,2,1,0,0,6396,0,72,0,5,15,42,16,1254,True,False,False,True,False,False,False,True,True,True,False,True,True,True
2,1,3,0,1,0,11428,0,1157,0,5,19,35,10,1411,False,True,True,False,False,True,False,True,True,False,False,False,True,False
0,2,1,2,1,2,24051,0,1380,3,4,7,11,8,1605,False,True,True,False,False,False,False,True,True,False,False,False,True,True
3,1,0,0,2,2,9381,0,5765,1,5,7,2,18,3054,False,True,True,False,False,True,False,False,False,True,False,True,False,False
2,1,0,1,0,0,17228,3,92,3,6,9,16,14,2902,True,False,False,False,True,False,False,True,True,False,False,False,False,False
2,2,0,0,2,0,4776,2,7797,2,7,22,8,15,4301,False,True,False,False,True,True,False,False,False,True,False,False,True,True
1,0,2,0,0,2,19019,3,50,0,3,12,35,22,2308,True,False,False,False,True,True,True,True,True,False,False,False,False,True
1,1,3,2,2,2,17228,2,7629,1,1,17,37,2,4132,True,False,True,False,False,False,False,True,True,False,True,False,True,True
2,1,1,2,2,1,9723,2,2367,1,3,1,41,23,2993,False,True,True,False,False,True,False,False,False,True,True,True,True,False
2,3,1,2,2,2,12025,2,3960,1,1,7,21,1,3098,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2,0,2,3,0,1,20128,1,42,3,2,19,15,10,1364,True,False,False,False,True,False,False,False,False,False,True,False,False,True
1,3,1,3,2,1,8102,1,6455,2,1,15,31,14,2941,True,False,False,False,True,False,True,True,True,True,False,True,True,True
2,1,3,0,0,0,21237,2,41,2,4,6,2,4,1349,True,False,False,True,False,False,True,False,False,False,False,True,False,False
2,2,1,1,0,2,18166,0,71,1,1,24,17,16,1038,True,False,False,False,True,False,True,False,False,False,False,False,True,True
3,1,2,2,0,0,6908,0,39,1,7,16,31,15,1815,False,True,True,False,False,False,False,False,False,False,False,False,True,True
2,1,3,3,0,0,7761,3,50,3,1,13,29,24,2566,True,False,True,False,False,True,True,True,True,True,True,False,True,False
2,0,2,2,2,1,24819,3,8707,1,3,2,23,23,2439,True,False,False,True,False,True,True,False,False,True,True,False,True,True
3,2,2,0,2,1,5970,3,167,0,2,9,7,20,2056,True,False,False,False,True,True,False,False,False,True,True,False,False,True
2,2,3,1,1,2,7590,3,631,1,7,2,0,18,2299,True,False,False,True,False,False,True,True,True,False,True,True,True,True
2,0,2,0,1,0,10320,1,194,2,6,15,16,18,1492,False,True,False,True,False,False,False,True,True,True,True,False,False,True
0,3,1,3,0,2,16887,1,46,1,1,12,45,17,1692,True,False,True,False,False,True,True,False,False,False,False,True,True,True
3,1,3,2,0,0,19957,2,37,3,3,15,29,3,2581,False,True,False,False,True,False,True,True,True,False,False,True,False,False
2,1,0,2,0,1,7164,1,31,2,2,0,1,1,950,False,True,False,True,False,False,False,True,True,False,True,False,True,False
1,0,2,3,2,2,15522,0,2880,0,5,10,9,1,1923,False,True,False,True,False,True,True,True,True,False,False,True,True,True
2,2,0,2,0,2,23454,0,6,3,2,19,49,19,1751,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,2,3,3,0,1,19446,3,40,0,6,1,35,7,2562,True,False,False,True,False,False,True,False,False,True,False,False,True,False
2,0,3,2,0,0,11940,2,1,2,6,9,24,24,2456,False,True,True,False,False,True,True,True,True,False,False,True,False,True
2,1,3,0,1,1,19787,0,1341,3,1,22,8,1,657,True,False,False,True,False,True,False,False,False,True,True,False,True,True
1,2,2,0,1,2,9808,3,393,0,3,21,13,9,1758,True,False,True,False,False,False,True,False,False,True,True,True,False,False
3,0,1,1,1,0,13390,2,191,1,4,2,44,12,2184,True,False,False,True,False,False,True,False,False,False,False,False,True,True
3,2,2,3,1,1,13305,3,131,3,1,14,20,23,3009,True,False,True,False,False,True,True,True,True,True,False,True,True,False
0,3,1,2,2,2,21493,3,1419,2,5,8,43,20,3748,False,True,False,False,True,True,False,True,True,False,False,False,True,True
1,0,1,0,2,0,13816,1,9159,0,7,2,26,16,1122,True,False,True,False,False,False,True,False,False,False,False,False,False,False
3,1,1,2,2,0,12367,0,8016,0,3,21,14,16,2810,False,True,True,False,False,True,True,False,False,False,True,False,False,True
2,3,1,0,0,0,18252,0,87,1,3,24,32,23,1346,True,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,2,1,0,0,10746,1,3,0,5,15,3,12,671,True,False,False,False,True,True,False,False,False,True,True,True,False,True
0,3,2,2,0,2,7761,2,13,3,1,19,44,16,1695,True,False,False,False,True,False,True,False,False,False,False,True,True,False
1,3,3,0,0,0,17484,0,74,2,3,6,2,19,810,True,False,True,False,False,True,True,False,False,False,True,False,False,True
0,2,2,2,2,0,24307,2,7743,3,3,1,33,4,2768,True,False,False,False,True,True,False,True,True,True,False,True,False,False
0,0,3,1,1,0,15181,0,993,2,7,11,2,13,1033,True,False,False,True,False,False,True,False,False,False,False,True,True,True
3,3,2,3,1,1,20128,1,1997,2,4,6,17,6,2046,True,False,True,False,False,True,False,True,True,False,False,True,True,True
3,3,3,3,2,0,24392,1,2721,0,6,23,30,22,2171,True,False,True,False,False,True,True,True,True,True,True,False,True,False
1,1,1,3,0,2,9211,1,5,1,7,21,0,4,1312,True,False,False,False,True,True,True,False,False,True,False,True,False,True
3,0,2,2,1,1,6482,1,941,2,1,24,3,18,1209,False,True,True,False,False,True,False,False,False,True,True,False,False,True
0,0,3,3,2,1,23028,2,8815,0,2,7,37,9,4017,False,True,False,True,False,False,True,False,False,False,True,False,False,False
1,2,3,2,2,2,12452,1,3276,3,1,13,10,10,877,True,False,True,False,False,False,True,False,False,True,True,True,True,True
3,0,2,0,2,1,18849,0,3309,1,5,8,16,20,1856,False,True,False,False,True,False,True,False,False,False,False,True,False,False
3,2,3,2,2,2,19616,0,2623,1,2,20,31,12,2197,False,True,True,False,False,False,True,False,False,False,True,False,True,False
3,3,2,0,2,2,25160,3,7915,2,1,15,10,18,4281,True,False,False,True,False,True,False,False,False,True,False,True,False,True
0,0,0,0,2,1,15096,2,8897,0,3,17,3,24,3480,False,True,False,False,True,True,False,True,True,False,False,False,True,False
0,1,2,1,0,2,16119,0,19,1,1,22,36,7,953,True,False,False,True,False,True,True,False,False,True,True,True,True,False
0,3,1,1,2,2,14840,2,3662,0,2,9,44,21,2046,False,True,False,False,True,False,True,True,True,False,True,False,False,True
3,0,2,3,2,0,16460,0,611,2,6,12,37,5,2521,False,True,False,True,False,True,True,True,True,True,True,False,True,True
2,3,2,2,1,0,20299,3,1431,2,6,1,33,3,3551,False,True,False,False,True,True,False,True,True,False,False,True,False,False
1,2,2,2,1,1,8614,0,1978,1,3,14,36,11,1459,False,True,False,False,True,False,False,True,True,False,False,True,False,True
0,0,1,0,0,1,8443,3,92,3,2,8,29,18,2492,False,True,True,False,False,False,True,True,True,True,False,False,True,False
3,3,1,3,0,2,4264,2,82,2,1,10,23,16,2411,False,True,True,False,False,True,True,True,True,True,True,False,True,False
3,2,1,3,1,0,6055,3,1851,2,7,15,0,20,2761,True,False,False,False,True,False,False,False,False,True,False,True,True,True
0,1,2,2,1,1,19787,1,1224,3,3,7,26,9,1500,True,False,False,True,False,True,True,True,True,True,True,False,False,True
2,2,3,2,2,1,21066,0,8219,3,5,18,2,5,1708,False,True,False,True,False,True,False,False,False,True,False,False,True,False
3,3,0,3,1,1,18934,0,1390,3,4,19,2,7,1717,True,False,True,False,False,False,True,True,True,False,True,False,False,False
2,0,0,2,1,1,5202,2,434,1,1,23,41,14,2135,False,True,True,False,False,True,True,False,False,True,False,True,False,True
0,0,0,2,2,1,11684,0,7460,0,6,5,11,20,2042,False,True,False,True,False,False,False,True,True,False,False,True,False,True
1,0,3,2,0,0,13390,1,15,0,1,20,50,18,1221,True,False,False,True,False,False,False,True,True,False,True,True,False,False
0,1,0,1,2,0,14840,3,4686,3,2,0,47,2,3473,False,True,True,False,False,False,True,False,False,False,False,True,True,True
1,1,1,0,0,2,18252,0,88,2,5,12,39,21,1378,True,False,False,True,False,True,True,False,False,False,True,False,True,True
1,2,0,0,0,1,18252,3,40,3,2,21,43,2,2135,True,False,False,False,True,False,True,True,True,False,True,True,False,True
1,2,3,2,0,0,5629,0,56,0,6,11,49,20,1464,False,True,True,False,False,True,False,False,False,False,False,True,True,False
2,0,0,3,0,1,10490,3,14,3,6,22,2,22,2816,True,False,False,False,True,True,True,False,False,True,True,False,False,True
1,0,0,2,1,1,8955,3,108,1,1,17,19,11,2210,False,True,True,False,False,False,False,False,False,True,False,True,False,True
3,3,0,1,2,2,10661,0,5168,0,3,1,40,17,1552,True,False,True,False,False,True,False,False,False,True,False,True,False,True
1,0,3,3,2,0,23881,2,672,0,3,24,34,18,2406,False,True,True,False,False,False,False,False,False,True,True,True,False,True
3,0,0,1,0,1,20299,3,94,3,3,17,21,22,3004,True,False,False,True,False,True,True,True,True,True,True,False,False,False
3,1,1,2,2,1,23028,1,3114,2,3,14,5,10,2540,True,False,False,True,False,True,True,True,True,True,False,True,False,False
1,1,2,1,2,0,6823,1,7134,3,2,5,8,5,2424,True,False,False,False,True,True,True,False,False,False,True,True,False,True
2,0,3,3,2,1,23540,1,8609,3,6,6,14,20,4000,True,False,False,False,True,True,False,False,False,False,False,True,False,True
1,3,0,1,1,2,17910,0,852,3,1,16,32,10,1288,True,False,True,False,False,True,True,False,False,True,True,True,False,False
3,1,0,1,1,0,23028,1,1673,1,6,16,50,14,2317,False,True,False,False,True,True,False,True,True,False,True,True,True,False
1,1,3,3,1,2,12964,3,1564,2,7,9,17,15,2730,True,False,False,False,True,False,False,False,False,False,True,False,True,True
1,0,3,2,0,2,21066,1,74,0,7,3,17,22,1371,True,False,False,False,True,False,False,False,False,True,False,False,True,False
1,3,1,1,2,1,12367,1,2885,0,4,3,33,21,2349,True,False,False,True,False,False,False,True,True,True,False,False,True,True
1,0,2,1,2,0,22175,1,8130,2,7,7,27,0,4536,False,True,False,True,False,True,False,False,False,False,True,False,False,True
2,1,2,2,1,2,24137,3,228,3,3,2,40,17,2987,True,False,True,False,False,True,True,False,False,True,True,False,True,True
1,1,3,2,1,1,23625,0,1162,1,4,1,20,7,1039,True,False,False,True,False,True,True,False,False,False,True,True,False,False
1,2,0,2,1,0,17313,0,71,1,2,10,24,12,1036,False,True,True,False,False,True,True,False,False,False,False,True,True,True
3,3,2,1,2,0,18166,2,6337,3,4,13,1,0,3620,True,False,False,True,False,False,True,True,True,False,False,False,False,False
1,0,3,1,1,0,11514,1,1649,0,4,8,21,2,1009,False,True,False,True,False,False,True,False,False,True,True,True,False,True
0,3,1,1,2,2,8187,3,6159,0,2,6,5,19,2895,True,False,False,False,True,True,True,True,True,True,True,False,True,True
2,3,3,0,2,1,13816,0,9884,3,1,21,32,21,4294,False,True,False,False,True,True,True,True,True,False,False,False,False,True
1,0,3,2,2,1,19872,2,4060,3,7,13,46,7,3429,False,True,True,False,False,True,True,False,False,False,True,False,True,False
0,3,1,1,0,1,22345,1,68,1,7,11,13,9,1334,True,False,False,False,True,False,False,True,True,False,False,True,True,False
2,2,0,2,0,0,15011,3,5,2,7,13,34,16,3697,False,True,True,False,False,False,False,True,True,False,False,False,True,False
1,2,2,1,1,2,15011,1,702,0,4,7,31,18,1494,True,False,False,True,False,True,True,False,False,False,True,False,False,False
0,0,0,3,0,1,12537,3,2,3,4,1,14,17,2779,False,True,True,False,False,False,True,False,False,True,True,False,False,True
2,3,0,3,0,2,7079,1,42,0,1,7,0,1,993,True,False,True,False,False,True,True,False,False,False,True,False,True,True
1,3,0,3,1,0,17484,0,274,3,5,20,32,0,1944,True,False,False,True,False,True,False,True,True,True,False,False,False,True
1,3,0,3,1,2,10661,2,590,0,3,1,3,1,1474,True,False,True,False,False,False,False,True,True,True,True,False,False,True
2,1,2,1,2,2,12367,2,84,0,1,1,5,22,1880,False,True,False,False,True,True,True,False,False,False,False,False,False,False
1,2,0,3,2,2,20128,2,6908,2,3,15,8,17,3535,True,False,False,False,True,False,False,True,True,False,False,False,False,False
0,3,1,2,0,2,8614,1,52,1,7,17,45,17,1644,True,False,False,True,False,True,True,False,False,True,False,True,True,True
3,1,3,1,2,0,6567,2,121,3,2,2,0,3,1268,True,False,False,True,False,True,True,True,True,False,True,True,True,False
3,3,0,1,0,0,20554,1,30,0,7,19,14,19,1529,False,True,False,True,False,False,False,False,False,False,True,True,False,False
3,0,2,0,1,0,10575,1,1336,3,4,10,34,20,2076,False,True,False,False,True,False,False,False,False,True,False,False,True,False
3,3,0,0,0,2,6993,0,89,2,4,5,49,10,1850,False,True,False,True,False,False,False,False,False,False,False,False,True,False
1,2,0,1,1,0,22345,0,1412,0,6,10,7,19,1000,False,True,False,True,False,False,False,False,False,False,True,True,False,True
3,1,2,0,0,0,21663,0,4,0,3,6,34,13,1485,False,True,False,True,False,False,True,True,True,False,False,False,False,False
2,2,3,3,1,1,6482,1,1924,1,1,14,19,2,1139,True,False,True,False,False,True,True,False,False,True,True,True,True,True
0,2,1,1,0,0,17655,0,64,2,2,8,13,14,682,True,False,True,False,False,True,False,True,True,True,True,True,True,True
2,0,1,1,2,2,19957,0,8659,2,1,8,10,11,926,False,True,False,False,True,False,True,True,True,True,True,True,False,False
1,2,1,3,0,1,7931,1,82,0,1,17,8,23,1037,True,False,False,False,True,True,False,True,True,True,False,True,True,False
1,0,0,0,0,2,6482,3,31,0,4,1,0,0,1467,True,False,True,False,False,False,False,False,False,True,False,True,True,False
1,3,3,1,2,0,5714,1,5230,1,3,5,6,0,914,False,True,False,True,False,True,True,False,False,True,True,False,True,True
0,3,2,0,1,0,8614,2,450,3,4,22,35,20,1741,True,False,True,False,False,False,True,True,True,False,False,True,False,True
0,1,3,3,1,1,6226,3,441,0,2,19,46,13,2742,False,True,False,False,True,False,True,True,True,True,True,False,False,True
3,1,2,2,2,0,23881,1,6160,2,2,1,8,19,2988,True,False,True,False,False,True,True,True,True,True,True,True,False,True
2,0,2,3,0,2,7249,2,35,1,4,20,34,4,2160,True,False,False,True,False,False,False,True,True,True,False,False,True,True
2,2,0,1,0,1,21834,2,57,2,6,5,44,24,3098,False,True,False,False,True,True,False,True,True,False,False,False,True,False
1,1,1,2,0,1,16460,3,7,3,3,10,43,7,2764,False,True,False,True,False,True,False,True,True,False,False,True,True,True
0,2,0,2,2,0,12367,2,5469,1,4,16,5,5,2335,False,True,True,False,False,False,True,False,False,True,False,True,False,True
0,2,2,2,0,1,24051,2,6,1,3,12,23,7,1462,True,False,False,True,False,False,True,True,True,True,True,True,True,True
3,3,1,3,1,1,11343,2,21,0,3,5,31,11,2356,False,True,False,True,False,True,False,False,False,False,True,True,True,False
0,1,1,3,1,1,19787,1,1127,1,1,19,45,16,1731,False,True,True,False,False,True,True,False,False,False,False,True,True,True
1,3,1,3,0,0,11002,0,7,1,2,22,25,18,1162,True,False,True,False,False,False,False,False,False,False,False,True,True,False
1,1,3,3,2,2,11940,2,6028,3,3,11,12,19,1884,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,0,1,2,2,1,13219,1,1669,0,3,1,18,15,1505,False,True,False,True,False,True,False,True,True,False,False,True,True,False
3,2,0,2,1,2,14584,0,1972,0,6,11,0,4,1252,False,True,False,False,True,True,False,True,True,True,True,False,False,True
1,3,0,0,1,1,23369,0,684,1,6,9,22,10,1360,True,False,True,False,False,False,True,True,True,False,False,False,True,True
2,3,2,3,0,1,22516,3,13,2,4,15,42,20,3824,False,True,False,True,False,True,False,False,False,True,False,False,True,True
1,0,1,3,2,2,8358,3,8061,0,7,14,18,4,4580,False,True,False,True,False,True,False,False,False,True,True,True,True,True
1,0,2,3,2,2,21493,0,2544,3,7,24,50,24,2833,True,False,False,True,False,True,True,False,False,True,True,True,True,True
0,1,2,0,0,1,21834,1,46,3,1,17,35,14,1131,False,True,False,False,True,True,True,True,True,True,True,True,True,False
1,2,2,0,1,2,17825,3,62,0,1,24,18,9,2382,False,True,True,False,False,True,False,False,False,False,False,False,False,False
1,0,0,2,2,2,22943,2,4447,3,4,12,43,7,2649,False,True,False,True,False,False,True,False,False,False,False,False,False,True
1,2,3,2,2,2,9637,1,4303,0,7,17,23,17,2706,False,True,False,False,True,True,True,False,False,True,False,True,False,True
2,0,1,0,2,1,23028,3,3176,1,5,24,16,0,3045,False,True,False,True,False,True,False,False,False,True,True,True,True,True
0,2,3,2,2,0,6140,1,7255,0,2,0,50,1,3134,False,True,False,True,False,True,False,True,True,False,False,True,False,False
3,0,0,2,0,1,8614,3,62,3,7,2,19,11,3619,False,True,True,False,False,True,False,True,True,True,False,True,False,False
0,3,0,2,2,1,16716,3,6254,0,6,21,45,20,5013,False,True,False,False,True,False,True,False,False,False,True,False,True,True
2,0,2,3,0,0,23625,3,93,1,3,17,17,24,2443,True,False,False,False,True,False,False,False,False,False,False,True,True,False
1,3,2,2,0,0,7761,0,86,0,3,2,8,7,488,True,False,False,True,False,False,True,True,True,True,True,True,True,True
2,2,2,2,1,0,8273,1,357,3,7,4,39,23,2409,False,True,False,True,False,True,True,False,False,False,False,True,True,False
2,0,0,2,2,2,20810,3,8725,2,7,10,46,1,7159,False,True,False,True,False,False,False,False,False,True,True,False,False,True
2,1,1,1,1,0,9211,3,1753,1,5,13,16,2,2670,False,True,False,False,True,True,False,False,False,True,False,True,False,False
